train_loss,train_acc,test_loss,test_acc,epoch
2.27224837969511,0.34455128205128205,2.366691801465791,0.15862068965517243,1
2.1779403671240196,0.35657051282051283,2.3144968065722233,0.3137931034482759,2
2.1308491688508253,0.3605769230769231,2.38416758899031,0.2655172413793103,3
2.0956999415006394,0.3661858974358974,2.652874910420385,0.11724137931034483,4
2.0641366151662974,0.37580128205128205,2.352895345359013,0.3413793103448276,5
2.0461972050177746,0.3782051282051282,2.6721749470151703,0.10344827586206896,6
2.038158505390852,0.3814102564102564,2.721525085383448,0.16896551724137931,7
2.0159087226941037,0.39342948717948717,2.2838437705204404,0.3275862068965517,8
2.021402753316439,0.3782051282051282,2.3738848653332942,0.3137931034482759,9
2.0056986671227675,0.38461538461538464,3.248684490138087,0.07931034482758621,10
