epoch,accuracy,val_accuracy,loss,val_loss
1,0.3217741935483871,0.503448275862069,2.2574389250047746,2.170754388759011
2,0.36774193548387096,0.506896551724138,2.139214061921643,1.9847963671935231
3,0.36612903225806454,0.4586206896551724,2.1001803490423385,2.0983730868289343
4,0.3709677419354839,0.4482758620689655,2.0792076726113597,2.157482071926719
5,0.38064516129032255,0.506896551724138,2.034572628236586,1.9988125594038713
6,0.38629032258064516,0.5137931034482759,2.0237323776368172,2.034888650241651
7,0.38306451612903225,0.38620689655172413,2.01123839962867,2.159185622867785
8,0.3895161290322581,0.496551724137931,1.998229016027143,1.936457539859571
9,0.3879032258064516,0.5,1.9918396626749346,2.0278151725467883
10,0.392741935483871,0.47586206896551725,1.9771137791295206,1.9291776544169377
